MATCH,PROBABILITIES,BOTH TEAMS TO SCORE,OVER 2.5,HOME FORM,LINKHOME,AWAY FORM,LINKAWAY,HEAD TO HEAD,LINKHEAD,LINKSTATS
"02/11/2021 [4] Coventry [13] Swansea
","['36', '29', '35', 'D']",['44'],['38'],"['W', 'W', 'W', 'W', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Coventry&awayteam=Swansea&league=E1,"['W', 'L', 'D', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Coventry&awayteam=Swansea&league=E1,"['D', 'L', 'L', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Coventry&awayteam=Swansea&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Coventry&awayteam=Swansea&league=E1
"02/11/2021 [20] Peterboro [5] Huddersfield
","['33', '24', '42', 'A']",['60'],['58'],"['D', 'L', 'W', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Peterboro&awayteam=Huddersfield&league=E1,"['W', 'L', 'W', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Peterboro&awayteam=Huddersfield&league=E1,"['L', 'L', 'L', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Peterboro&awayteam=Huddersfield&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Peterboro&awayteam=Huddersfield&league=E1
"02/11/2021 [18] Nott'm Forest [17] Sheffield United
","['52', '24', '24', 'H']",['53'],['52'],"['L', 'L', 'L', 'D', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Nott%27m%20Forest&awayteam=Sheffield%20United&league=E1,"['L', 'D', 'W', 'L', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Nott%27m%20Forest&awayteam=Sheffield%20United&league=E1,"['D', 'L', 'W', 'D', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Nott%27m%20Forest&awayteam=Sheffield%20United&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Nott%27m%20Forest&awayteam=Sheffield%20United&league=E1
"02/11/2021 [12] Millwall [16] Reading
","['50', '27', '23', 'H']",['43'],['39'],"['L', 'W', 'D', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Millwall&awayteam=Reading&league=E1,"['L', 'L', 'W', 'L', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Millwall&awayteam=Reading&league=E1,"['L', 'D', 'W', 'W', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Millwall&awayteam=Reading&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Millwall&awayteam=Reading&league=E1
"02/11/2021 [10] Luton [11] Middlesbrough
","['35', '29', '36', 'D']",['45'],['39'],"['L', 'D', 'D', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Luton&awayteam=Middlesbrough&league=E1,"['D', 'L', 'W', 'L', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Luton&awayteam=Middlesbrough&league=E1,"['D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Luton&awayteam=Middlesbrough&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Luton&awayteam=Middlesbrough&league=E1
"02/11/2021 [14] Birmingham [15] Bristol City
","['43', '27', '30', 'D']",['50'],['45'],"['L', 'W', 'L', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=02/11/2021&hometeam=Birmingham&awayteam=Bristol%20City&league=E1,"['W', 'W', 'W', 'L', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=02/11/2021&hometeam=Birmingham&awayteam=Bristol%20City&league=E1,"['W', 'W', 'W', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=02/11/2021&hometeam=Birmingham&awayteam=Bristol%20City&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=02/11/2021&hometeam=Birmingham&awayteam=Bristol%20City&league=E1
"03/11/2021 [21] Cardiff [8] QPR
","['51', '24', '25', 'H']",['55'],['54'],"['W', 'L', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=Cardiff&awayteam=QPR&league=E1,"['W', 'D', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=Cardiff&awayteam=QPR&league=E1,"['D', 'D', 'L', 'W', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=Cardiff&awayteam=QPR&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=Cardiff&awayteam=QPR&league=E1
"03/11/2021 [1] Bournemouth [19] Preston
","['59', '25', '16', 'H']",['40'],['40'],"['D', 'W', 'W', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=Bournemouth&awayteam=Preston&league=E1,"['L', 'D', 'D', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=Bournemouth&awayteam=Preston&league=E1,"['W', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=Bournemouth&awayteam=Preston&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=Bournemouth&awayteam=Preston&league=E1
"03/11/2021 [6] Blackpool [9] Stoke
","['54', '26', '20', 'H']",['44'],['41'],"['L', 'W', 'L', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=Blackpool&awayteam=Stoke&league=E1,"['W', 'L', 'L', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=Blackpool&awayteam=Stoke&league=E1,"['D', 'L', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=Blackpool&awayteam=Stoke&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=Blackpool&awayteam=Stoke&league=E1
"03/11/2021 [23] Barnsley [24] Derby
","['38', '29', '33', 'D']",['45'],['39'],"['L', 'D', 'D', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=Barnsley&awayteam=Derby&league=E1,"['W', 'L', 'D', 'L', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=Barnsley&awayteam=Derby&league=E1,"['D', 'L', 'W', 'L', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=Barnsley&awayteam=Derby&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=Barnsley&awayteam=Derby&league=E1
"03/11/2021 [7] Blackburn [2] Fulham
","['34', '24', '43', 'A']",['63'],['61'],"['L', 'D', 'W', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=Blackburn&awayteam=Fulham&league=E1,"['W', 'L', 'W', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=Blackburn&awayteam=Fulham&league=E1,"['D', 'W', 'W', 'W', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=Blackburn&awayteam=Fulham&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=Blackburn&awayteam=Fulham&league=E1
"03/11/2021 [3] West Brom [22] Hull
","['83', '17', '0', 'H']",['0'],['27'],"['W', 'D', 'D', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=03/11/2021&hometeam=West%20Brom&awayteam=Hull&league=E1,"['L', 'D', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=03/11/2021&hometeam=West%20Brom&awayteam=Hull&league=E1,"['L', 'D', 'W', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=03/11/2021&hometeam=West%20Brom&awayteam=Hull&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=03/11/2021&hometeam=West%20Brom&awayteam=Hull&league=E1
"06/11/2021 [21] Cardiff [5] Huddersfield
","['54', '24', '22', 'H']",['52'],['52'],"['W', 'L', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Cardiff&awayteam=Huddersfield&league=E1,"['W', 'L', 'W', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Cardiff&awayteam=Huddersfield&league=E1,"['W', 'W', 'W', 'D', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Cardiff&awayteam=Huddersfield&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Cardiff&awayteam=Huddersfield&league=E1
"06/11/2021 [1] Bournemouth [13] Swansea
","['55', '26', '19', 'H']",['42'],['40'],"['D', 'W', 'W', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Bournemouth&awayteam=Swansea&league=E1,"['W', 'L', 'D', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Bournemouth&awayteam=Swansea&league=E1,"['D', 'L', 'W', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Bournemouth&awayteam=Swansea&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Bournemouth&awayteam=Swansea&league=E1
