MATCH,PROBABILITIES,BOTH TEAMS TO SCORE,OVER 2.5,HOME FORM,LINKHOME,AWAY FORM,LINKAWAY,HEAD TO HEAD,LINKHEAD,LINKSTATS
"01/11/2021 [11] Wolves [9] Everton
","['47', '28', '25', 'H']",['43'],['38'],"['W', 'L', 'L', 'L', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=01/11/2021&hometeam=Wolves&awayteam=Everton&league=E0,"['D', 'L', 'D', 'W', 'L', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=01/11/2021&hometeam=Wolves&awayteam=Everton&league=E0,"['D', 'L', 'D', 'D', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=01/11/2021&hometeam=Wolves&awayteam=Everton&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=01/11/2021&hometeam=Wolves&awayteam=Everton&league=E0
"05/11/2021 [14] Southampton [15] Aston Villa
","['45', '26', '29', 'D']",['53'],['49'],"['L', 'D', 'D', 'L', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=05/11/2021&hometeam=Southampton&awayteam=Aston%20Villa&league=E0,"['W', 'L', 'L', 'W', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=05/11/2021&hometeam=Southampton&awayteam=Aston%20Villa&league=E0,"['W', 'L', 'W', 'D', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=05/11/2021&hometeam=Southampton&awayteam=Aston%20Villa&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=05/11/2021&hometeam=Southampton&awayteam=Aston%20Villa&league=E0
"06/11/2021 [5] Man United [3] Man City

","['33', '23', '44', 'A']",['63'],['62'],"['D', 'W', 'W', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Man%20United&awayteam=Man%20City&league=E0,"['L', 'L', 'W', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Man%20United&awayteam=Man%20City&league=E0,"['D', 'L', 'L', 'L', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Man%20United&awayteam=Man%20City&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Man%20United&awayteam=Man%20City&league=E0
"06/11/2021 [13] Crystal Palace [11] Wolves
","['37', '29', '34', 'D']",['44'],['37'],"['L', 'D', 'W', 'D', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Crystal%20Palace&awayteam=Wolves&league=E0,"['L', 'L', 'W', 'W', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Crystal%20Palace&awayteam=Wolves&league=E0,"['L', 'L', 'W', 'L', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Crystal%20Palace&awayteam=Wolves&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Crystal%20Palace&awayteam=Wolves&league=E0
"06/11/2021 [1] Chelsea [18] Burnley
","['69', '20', '10', 'H']",['38'],['46'],"['W', 'W', 'W', 'L', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Chelsea&awayteam=Burnley&league=E0,"['L', 'L', 'L', 'D', 'L', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Chelsea&awayteam=Burnley&league=E0,"['D', 'W', 'L', 'D', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Chelsea&awayteam=Burnley&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Chelsea&awayteam=Burnley&league=E0
"06/11/2021 [12] Brentford [20] Norwich
","['87', '11', '2', 'H']",['15'],['47'],"['W', 'W', 'L', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Brentford&awayteam=Norwich&league=E0,"['D', 'L', 'L', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Brentford&awayteam=Norwich&league=E0,"['W', 'L', 'D', 'L', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Brentford&awayteam=Norwich&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Brentford&awayteam=Norwich&league=E0
"06/11/2021 [7] Brighton [19] Newcastle
","['49', '28', '23', 'H']",['42'],['37'],"['W', 'W', 'L', 'W', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Brighton&awayteam=Newcastle&league=E0,"['W', 'L', 'L', 'D', 'L', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Brighton&awayteam=Newcastle&league=E0,"['L', 'W', 'D', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Brighton&awayteam=Newcastle&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Brighton&awayteam=Newcastle&league=E0
"07/11/2021 [17] Leeds [10] Leicester
","['41', '25', '35', 'D']",['59'],['56'],"['W', 'D', 'L', 'L', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=07/11/2021&hometeam=Leeds&awayteam=Leicester&league=E0,"['L', 'L', 'W', 'L', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=07/11/2021&hometeam=Leeds&awayteam=Leicester&league=E0,"['D', 'L', 'L', 'W', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=07/11/2021&hometeam=Leeds&awayteam=Leicester&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=07/11/2021&hometeam=Leeds&awayteam=Leicester&league=E0
"07/11/2021 [9] Everton [8] Tottenham
","['36', '26', '37', 'D']",['53'],['48'],"['W', 'W', 'W', 'W', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=07/11/2021&hometeam=Everton&awayteam=Tottenham&league=E0,"['W', 'W', 'L', 'L', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=07/11/2021&hometeam=Everton&awayteam=Tottenham&league=E0,"['D', 'D', 'L', 'L', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=07/11/2021&hometeam=Everton&awayteam=Tottenham&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=07/11/2021&hometeam=Everton&awayteam=Tottenham&league=E0
"07/11/2021 [6] Arsenal [16] Watford

","['74', '18', '8', 'H']",['34'],['47'],"['W', 'L', 'W', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=07/11/2021&hometeam=Arsenal&awayteam=Watford&league=E0,"['L', 'L', 'L', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=07/11/2021&hometeam=Arsenal&awayteam=Watford&league=E0,"['W', 'W', 'L', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=07/11/2021&hometeam=Arsenal&awayteam=Watford&league=E0,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=07/11/2021&hometeam=Arsenal&awayteam=Watford&league=E0
